tanggal,komoditi,satuan,harga
2020-01-02,Beras Medium,Kg,13375
2020-01-03,Beras Medium,Kg,10700
2020-01-06,Beras Medium,Kg,10950
2020-01-07,Beras Medium,Kg,10950
2020-01-08,Beras Medium,Kg,11040
2020-01-09,Beras Medium,Kg,11040
2020-01-10,Beras Medium,Kg,13938
2020-01-13,Beras Medium,Kg,13875
2020-01-14,Beras Medium,Kg,13625
2020-01-15,Beras Medium,Kg,13750
2020-01-16,Beras Medium,Kg,14000
2020-01-17,Beras Medium,Kg,13500
2020-01-20,Beras Medium,Kg,13938
2020-01-21,Beras Medium,Kg,13875
2020-01-22,Beras Medium,Kg,13625
2020-01-23,Beras Medium,Kg,13875
2020-01-24,Beras Medium,Kg,13875
2020-01-27,Beras Medium,Kg,13875
2020-01-28,Beras Medium,Kg,13875
2020-01-29,Beras Medium,Kg,13875
2020-01-30,Beras Medium,Kg,13875
2020-01-31,Beras Medium,Kg,13875
2020-01-02,Beras Premium,Kg,15125
2020-01-03,Beras Premium,Kg,12100
2020-01-06,Beras Premium,Kg,12050
2020-01-07,Beras Premium,Kg,12050
2020-01-08,Beras Premium,Kg,12200
2020-01-09,Beras Premium,Kg,12200
2020-01-10,Beras Premium,Kg,12400
2020-01-13,Beras Premium,Kg,12200
2020-01-14,Beras Premium,Kg,15313
2020-01-15,Beras Premium,Kg,12625
2020-01-16,Beras Premium,Kg,15500
2020-01-17,Beras Premium,Kg,12200
2020-01-20,Beras Premium,Kg,12300
2020-01-21,Beras Premium,Kg,12300
2020-01-22,Beras Premium,Kg,12200
2020-01-23,Beras Premium,Kg,12600
2020-01-24,Beras Premium,Kg,12500
2020-01-27,Beras Premium,Kg,12500
2020-01-28,Beras Premium,Kg,12500
2020-01-29,Beras Premium,Kg,12500
2020-01-30,Beras Premium,Kg,12500
2020-01-31,Beras Premium,Kg,12500
2020-01-02,Gula Pasir,Kg,13550
2020-01-03,Gula Pasir,Kg,13600
2020-01-06,Gula Pasir,Kg,13400
2020-01-07,Gula Pasir,Kg,13550
2020-01-08,Gula Pasir,Kg,13800
2020-01-09,Gula Pasir,Kg,13700
2020-01-10,Gula Pasir,Kg,13700
2020-01-13,Gula Pasir,Kg,14050
2020-01-14,Gula Pasir,Kg,13900
2020-01-15,Gula Pasir,Kg,13300
2020-01-16,Gula Pasir,Kg,13850
2020-01-17,Gula Pasir,Kg,13700
2020-01-20,Gula Pasir,Kg,13900
2020-01-21,Gula Pasir,Kg,14200
2020-01-22,Gula Pasir,Kg,14400
2020-01-23,Gula Pasir,Kg,13900
2020-01-24,Gula Pasir,Kg,14000
2020-01-27,Gula Pasir,Kg,14000
2020-01-28,Gula Pasir,Kg,14000
2020-01-29,Gula Pasir,Kg,14000
2020-01-30,Gula Pasir,Kg,14000
2020-01-31,Gula Pasir,Kg,14000
2020-01-02,Minyak Goreng Bimoli Botol,Liter,13900
2020-01-03,Minyak Goreng Bimoli Botol,Liter,13900
2020-01-06,Minyak Goreng Bimoli Botol,Liter,13900
2020-01-07,Minyak Goreng Bimoli Botol,Liter,13900
2020-01-08,Minyak Goreng Bimoli Botol,Liter,13800
2020-01-09,Minyak Goreng Bimoli Botol,Liter,14000
2020-01-10,Minyak Goreng Bimoli Botol,Liter,13900
2020-01-13,Minyak Goreng Bimoli Botol,Liter,13600
2020-01-14,Minyak Goreng Bimoli Botol,Liter,13900
2020-01-15,Minyak Goreng Bimoli Botol,Liter,13900
2020-01-16,Minyak Goreng Bimoli Botol,Liter,13700
2020-01-17,Minyak Goreng Bimoli Botol,Liter,13700
2020-01-20,Minyak Goreng Bimoli Botol,Liter,14300
2020-01-21,Minyak Goreng Bimoli Botol,Liter,14200
2020-01-22,Minyak Goreng Bimoli Botol,Liter,14100
2020-01-23,Minyak Goreng Bimoli Botol,Liter,14200
2020-01-24,Minyak Goreng Bimoli Botol,Liter,13800
2020-01-27,Minyak Goreng Bimoli Botol,Liter,13800
2020-01-28,Minyak Goreng Bimoli Botol,Liter,13800
2020-01-29,Minyak Goreng Bimoli Botol,Liter,13800
2020-01-30,Minyak Goreng Bimoli Botol,Liter,13800
2020-01-31,Minyak Goreng Bimoli Botol,Liter,13800
2020-01-02,Minyak Goreng Curah,Liter,12300
2020-01-03,Minyak Goreng Curah,Liter,12350
2020-01-06,Minyak Goreng Curah,Liter,12300
2020-01-07,Minyak Goreng Curah,Liter,12250
2020-01-08,Minyak Goreng Curah,Liter,12500
2020-01-09,Minyak Goreng Curah,Liter,12500
2020-01-10,Minyak Goreng Curah,Liter,12300
2020-01-13,Minyak Goreng Curah,Liter,12200
2020-01-14,Minyak Goreng Curah,Liter,12400
2020-01-15,Minyak Goreng Curah,Liter,12600
2020-01-16,Minyak Goreng Curah,Liter,12400
2020-01-17,Minyak Goreng Curah,Liter,12700
2020-01-20,Minyak Goreng Curah,Liter,12900
2020-01-21,Minyak Goreng Curah,Liter,12400
2020-01-22,Minyak Goreng Curah,Liter,12800
2020-01-23,Minyak Goreng Curah,Liter,12800
2020-01-24,Minyak Goreng Curah,Liter,12500
2020-01-27,Minyak Goreng Curah,Liter,12700
2020-01-28,Minyak Goreng Curah,Liter,12800
2020-01-29,Minyak Goreng Curah,Liter,12600
2020-01-30,Minyak Goreng Curah,Liter,12600
2020-01-31,Minyak Goreng Curah,Liter,12600
2020-01-02,"Daging Sapi, Lokal, Paha Belakang",Kg,121000
2020-01-03,"Daging Sapi, Lokal, Paha Belakang",Kg,121000
2020-01-06,"Daging Sapi, Lokal, Paha Belakang",Kg,122000
2020-01-07,"Daging Sapi, Lokal, Paha Belakang",Kg,122000
2020-01-08,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
2020-01-09,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
2020-01-10,"Daging Sapi, Lokal, Paha Belakang",Kg,121000
2020-01-13,"Daging Sapi, Lokal, Paha Belakang",Kg,123000
2020-01-14,"Daging Sapi, Lokal, Paha Belakang",Kg,122000
2020-01-15,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
2020-01-16,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
2020-01-17,"Daging Sapi, Lokal, Paha Belakang",Kg,124000
2020-01-20,"Daging Sapi, Lokal, Paha Belakang",Kg,121000
2020-01-21,"Daging Sapi, Lokal, Paha Belakang",Kg,123000
2020-01-22,"Daging Sapi, Lokal, Paha Belakang",Kg,122000
2020-01-23,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
2020-01-24,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
2020-01-27,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
2020-01-28,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
2020-01-29,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
2020-01-30,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
